"","Line","Name","OriginName","Opened","Elev","Lat","Lon"
"227","14","Lokomotiv","Локомотив","2016-09-10",NA,55.8148,37.7342
"228","14","Izmaylovo","Измайлово","2016-09-10",NA,55.8148,37.7342
"229","14","Sokolinaya Gora","Соколиная гора","2016-10-11",NA,55.8148,37.7342
"230","14","Shosse Entuziastov","Шоссе Энтузиастов","2016-09-10",NA,55.8148,37.7342
"231","14","Andronovka","Андроновка","2016-09-10",NA,55.8148,37.7342
"232","14","Nizhegorodskaya","Нижегородская","2016-09-10",NA,55.8148,37.7342
"233","14","Novokhokhlovskaya","Новохохловская","2016-09-10",NA,55.8148,37.7342
"234","14","Ugreshskaya","Угрешская","2016-09-10",NA,55.8148,37.7342
"235","14","Dubrovka","Дубровка","2016-10-11",NA,55.8148,37.7342
"236","14","Avtozavodskaya","Автозаводская","2016-09-10",NA,55.8148,37.7342
"237","14","ZIL","ЗИЛ","2016-09-10",NA,55.8148,37.7342
"238","14","Verkhnie Kotly","Верхние Котлы","2016-09-10",NA,55.8148,37.7342
"239","14","Krymskaya","Крымская","2016-09-10",NA,55.8148,37.7342
"240","14","Ploshchad Gagarina","Площадь Гагарина","2016-09-10",NA,55.8148,37.7342
"241","14","Luzhniki","Лужники","2016-09-10",NA,55.8148,37.7342
"242","14","Kutuzovskaya","Кутузовская","2016-09-10",NA,55.8148,37.7342
"243","14","Delovoy Tsentr","Деловой центр","2016-09-10",NA,55.8148,37.7342
"244","14","Shelepikha","Шелепиха","2016-09-10",NA,55.8148,37.7342
"245","14","Khoroshyovo","Хорошёво","2016-09-10",NA,55.8148,37.7342
"246","14","Zorge","Зорге","2016-11-04",NA,55.8148,37.7342
"247","14","Panfilovskaya","Панфиловская","2016-11-08",NA,55.8148,37.7342
"248","14","Streshnevo","Стрешнево","2016-09-10",NA,55.8148,37.7342
"249","14","Baltiyskaya","Балтийская","2016-09-10",NA,55.8148,37.7342
"250","14","Koptevo","Коптево","2016-11-01",NA,55.8148,37.7342
"251","14","Likhobory","Лихоборы","2016-09-10",NA,55.8148,37.7342
